Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta1,Z,,0.9472614768939989,,,,0.939630034346784,0.9499399089069026,,2610.0,1.0,0,27.997833967208862
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9471971461525865,,,,0.9397546157502553,0.9499207174562415,,2783.0,1.0,0,28.068318128585815
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfCauchy_beta5,Z,,0.9472489991762664,,,,0.9396134591695888,0.9499336893010645,,2450.0,1.0,0,28.811687469482422
AR(1),Beta_1_1_sampled,"N(0,2²)",HalfNormal_sigma2,Z,,0.9472004064259344,,,,0.9396574977854723,0.949925856787399,,2640.0,1.0,0,29.357280254364014
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta1,Z,,0.9472973829081195,,,,0.9397400126137211,0.9499368534570212,,2429.0,1.0,0,29.00026774406433
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9472912258158975,,,,0.9398999810339327,0.949932719326849,,2323.0,1.0,0,29.975416898727417
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfCauchy_beta5,Z,,0.9472027199562947,,,,0.9395043604954868,0.9499335494796253,,2555.0,1.0,0,29.24688458442688
AR(1),Beta_1_1_sampled,"N(0,5²)",HalfNormal_sigma2,Z,,0.9471747961844726,,,,0.9397760699503138,0.9499316111033081,,2608.0,1.0,0,29.98765778541565
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta1,Z,,0.9473424534694634,,,,0.9400172332816598,0.9499472529314188,,2062.0,1.0,0,29.577301263809204
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta2p5,Z,,0.9471901282095357,,,,0.9394398629015649,0.949925789540418,,2475.0,1.0,0,30.488632678985596
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,Z,,0.9471923591269772,,,,0.9400658083521477,0.9499546606988879,,2256.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,Z,,0.9472035497420646,,,,0.9395500566002062,0.9499437893092335,,2365.0,1.0,0,29.51587963104248
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,Z,,0.9444856216440299,,,,0.9340769981874306,0.9493776291193752,,3127.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9445263451830074,,,,0.9344904813230703,0.9493664592369668,,2918.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,Z,,0.9444685113582479,,,,0.9340082815521985,0.9493186423354,,2811.0,1.0,0,72.22706580162048
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfNormal_sigma2,Z,,0.9445430680672291,,,,0.9346036683936283,0.9493104071629188,,2840.0,1.0,0,73.75673031806946
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta1,Z,,0.9444062476350638,,,,0.934523072167627,0.9493807172620474,,3003.0,1.0,0,72.87803435325623
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta2p5,Z,,0.9445119943016155,,,,0.9348077966938659,0.9493312538602912,,2610.0,1.0,0,72.4608325958252
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfCauchy_beta5,Z,,0.9444679640386847,,,,0.9351600012453326,0.9493799119143099,,2807.0,1.0,0,71.91147017478943
AR(1),Beta_2_2_sampled,"N(0,5²)",HalfNormal_sigma2,Z,,0.9443556493251469,,,,0.9341591259016321,0.9493642249302793,,2730.0,1.0,0,72.8178939819336
AR(1),Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta1,Z,,0.9444999741627146,,,,0.9346258403662816,0.9493941289299108,,3050.0,1.0,0,74.37267994880676
AR(1),Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta2p5,Z,,0.9444606270696945,,,,0.9347820156399005,0.9493802827891972,,3004.0,1.0,0,72.93581581115723
AR(1),Beta_2_2_sampled,"N(0,10²)",HalfCauchy_beta5,Z,,0.9445044110682873,,,,0.9347158626603467,0.949359771938796,,3139.0,1.0,0,72.39225792884827
AR(1),Beta_2_2_sampled,"N(0,10²)",HalfNormal_sigma2,Z,,0.944458587888166,,,,0.9341349701478272,0.9494174902598417,,2802.0,1.0,0,72.1777195930481
